ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,VPH_C_ELEC,VPH_INTER,VPH_CEL,VPH_STVP,VPH_PC
17,Morelos,003,Axochiapan,0049,El Mezquital,*,*,*,*,*
17,Morelos,003,Axochiapan,0054,Rancho Cabrera,5,0,5,1,1
17,Morelos,003,Axochiapan,0055,Rancho el Mirador,*,*,*,*,*
17,Morelos,003,Axochiapan,0056,Rancho Isaías,9,5,9,5,5
17,Morelos,003,Axochiapan,0057,Rancho María de Jesús Barrera,22,3,19,7,2
17,Morelos,003,Axochiapan,0058,Colonia Rubén Carrillo,34,18,31,3,9
17,Morelos,003,Axochiapan,0059,Campo el Pedregal,*,*,*,*,*
17,Morelos,003,Axochiapan,0060,Cuauhtémoc,115,23,104,25,13
17,Morelos,003,Axochiapan,0061,Ampliación Juan González y Año 2000,14,2,14,3,4
17,Morelos,003,Axochiapan,0063,Campo la Comunidad,9,2,7,1,0
17,Morelos,003,Axochiapan,0064,Campo la Laguna,28,5,27,12,3
17,Morelos,003,Axochiapan,0067,Colonia los Tres Reyes,12,0,12,2,1
17,Morelos,003,Axochiapan,0069,El Edén [Rancho],7,2,5,1,1
17,Morelos,003,Axochiapan,0072,Campo el Papayo,*,*,*,*,*
17,Morelos,003,Axochiapan,0073,Campo Jicamal,38,3,34,4,2
17,Morelos,003,Axochiapan,0074,Colonia el CBTA,43,8,34,4,4
17,Morelos,003,Axochiapan,0075,Colonia las Palmas,30,14,29,6,10
17,Morelos,003,Axochiapan,0076,Colonia Nueva Esperanza,3,1,3,0,0
17,Morelos,003,Axochiapan,0077,Almolonca,4,1,3,0,1
17,Morelos,003,Axochiapan,0078,Colonia Carrillo Olea (La Primavera),63,8,53,14,3
17,Morelos,003,Axochiapan,0080,Colonia 2000,22,3,20,4,2
17,Morelos,003,Axochiapan,0081,Colonia la Guadalupana,26,3,24,7,3
17,Morelos,003,Axochiapan,0082,Colonia Florida,13,1,11,0,1
17,Morelos,003,Axochiapan,0083,Colonia Cuatecomates,11,3,11,4,3
17,Morelos,003,Axochiapan,0084,Colonia Morelos,5,1,4,1,0
17,Morelos,003,Axochiapan,0085,Presa los Carros,*,*,*,*,*
17,Morelos,003,Axochiapan,9998,Localidades de una vivienda,6,1,6,1,2
17,Morelos,003,Axochiapan,9999,Localidades de dos viviendas,11,2,11,4,1
17,Morelos,004,Ayala,0000,Total del Municipio,24765,9905,21878,6384,6568
17,Morelos,004,Ayala,0001,Ciudad Ayala,1803,854,1632,709,646
17,Morelos,004,Ayala,0002,Abelardo L. Rodríguez,582,194,512,143,152
17,Morelos,004,Ayala,0004,Anenecuilco,3095,1262,2746,809,801
17,Morelos,004,Ayala,0005,San Pedro Apatlaco,3727,1734,3303,1033,1088
17,Morelos,004,Ayala,0006,Benito Juárez,90,25,80,19,14
17,Morelos,004,Ayala,0008,Chinameca,902,344,793,170,134
